,full path,line,permission
0,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android-v3\app\src\main\java\com\ekylibre\android\LiveActivity.java,108,ACCESS_FINE_LOCATION
1,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android-v3\app\src\main\java\com\ekylibre\android\LiveActivity.java,106,ACCESS_FINE_LOCATION
2,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android-v3\app\src\main\java\com\ekylibre\android\InfoActivity.java,256,ACCESS_FINE_LOCATION
3,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android-v3\app\src\main\java\com\ekylibre\android\InfoActivity.java,254,ACCESS_FINE_LOCATION
4,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\zero\PlantCountingActivity.java,732,ACCESS_COARSE_LOCATION
5,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\zero\PlantCountingActivity.java,731,ACCESS_FINE_LOCATION
6,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\zero\IssueActivity.java,305,ACCESS_COARSE_LOCATION
7,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\zero\IssueActivity.java,304,ACCESS_FINE_LOCATION
8,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,215,WRITE_CALENDAR
9,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,214,READ_CALENDAR
10,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,211,WRITE_CONTACTS
11,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,204,WRITE_CALENDAR
12,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,202,READ_CALENDAR
13,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,196,WRITE_CONTACTS
14,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,179,WRITE_CONTACTS
15,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,174,WRITE_CONTACTS
16,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,167,WRITE_CONTACTS
17,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,112,WRITE_EXTERNAL_STORAGE
18,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,110,READ_EXTERNAL_STORAGE
19,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,106,WRITE_EXTERNAL_STORAGE
20,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,106,READ_EXTERNAL_STORAGE
21,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,101,WRITE_EXTERNAL_STORAGE
22,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,99,READ_EXTERNAL_STORAGE
23,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,80,ACCESS_FINE_LOCATION
24,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,78,ACCESS_COARSE_LOCATION
25,C:\Gabriel\School\Coursework\Fall 21\\4585\Workshops\Android permissions\FARMING_ANDROID_REPOS\zero-android\app\src\main\java\ekylibre\util\PermissionManager.java,74,ACCESS_COARSE_LOCATION
