CVE-ID,DESCRIPTION,SEVERITY
['CVE-2017-12613']," `apr` package.   When apr_time_exp* or apr_os_exp_time* functions are invoked with an invalid month field value in Apache Portable Runtime APR 1.6.2 and prior, out of bounds memory may be accessed in converting this value to an apr_time_exp_t value, potentially revealing the contents of a different static heap value or resulting in program termination, and may represent an information disclosure or denial of service vulnerability to applications which call these APR functions with unvalidated external input. ## Remediation There is no fixed version for `Debian:9` `apr`.",low
['CVE-2017-12613']," `apr` package.   When apr_time_exp* or apr_os_exp_time* functions are invoked with an invalid month field value in Apache Portable Runtime APR 1.6.2 and prior, out of bounds memory may be accessed in converting this value to an apr_time_exp_t value, potentially revealing the contents of a different static heap value or resulting in program termination, and may represent an information disclosure or denial of service vulnerability to applications which call these APR functions with unvalidated external input. ## Remediation There is no fixed version for `Debian:9` `apr`.",low
['CVE-2017-12613']," `apr` package.   When apr_time_exp* or apr_os_exp_time* functions are invoked with an invalid month field value in Apache Portable Runtime APR 1.6.2 and prior, out of bounds memory may be accessed in converting this value to an apr_time_exp_t value, potentially revealing the contents of a different static heap value or resulting in program termination, and may represent an information disclosure or denial of service vulnerability to applications which call these APR functions with unvalidated external input. ## Remediation There is no fixed version for `Debian:9` `apr`.",low
['CVE-2017-12613']," `apr` package.   When apr_time_exp* or apr_os_exp_time* functions are invoked with an invalid month field value in Apache Portable Runtime APR 1.6.2 and prior, out of bounds memory may be accessed in converting this value to an apr_time_exp_t value, potentially revealing the contents of a different static heap value or resulting in program termination, and may represent an information disclosure or denial of service vulnerability to applications which call these APR functions with unvalidated external input. ## Remediation There is no fixed version for `Debian:9` `apr`.",low
['CVE-2017-12618']," `apr-util` package.   Apache Portable Runtime Utility  1.6.0 and prior fail to validate the integrity of SDBM database files used by apr_sdbm* functions, resulting in a possible out of bound read access. A local user with write access to the database can make a program or process using these functions crash, and cause a denial of service. ## Remediation There is no fixed version for `Debian:9` `apr-util`.",low
['CVE-2017-12618']," `apr-util` package.   Apache Portable Runtime Utility  1.6.0 and prior fail to validate the integrity of SDBM database files used by apr_sdbm* functions, resulting in a possible out of bound read access. A local user with write access to the database can make a program or process using these functions crash, and cause a denial of service. ## Remediation There is no fixed version for `Debian:9` `apr-util`.",low
['CVE-2017-12618']," `apr-util` package.   Apache Portable Runtime Utility  1.6.0 and prior fail to validate the integrity of SDBM database files used by apr_sdbm* functions, resulting in a possible out of bound read access. A local user with write access to the database can make a program or process using these functions crash, and cause a denial of service. ## Remediation There is no fixed version for `Debian:9` `apr-util`.",low
['CVE-2020-27350']," `apt` package.   See `Remediation` section below for `Debian:9` relevant versions.   APT had several integer overflows and underflows while parsing .deb packages, aka GHSL-2020-168 GHSL-2020-169, in files apt-pkg/contrib/extracttar.cc, apt-pkg/deb/debfile.cc, and apt-pkg/contrib/arfile.cc. This issue affects: apt 1.2.32ubuntu0 versions prior to 1.2.32ubuntu0.2; 1.6.12ubuntu0 versions prior to 1.6.12ubuntu0.2; 2.0.2ubuntu0 versions prior to 2.0.2ubuntu0.2; 2.1.10ubuntu0 versions prior to 2.1.10ubuntu0.1; ## Remediation Upgrade `Debian:9` `apt` to version 1.4.11 or higher.",medium
['CVE-2011-3374']," `apt` package.   It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle attack. ## Remediation There is no fixed version for `Debian:9` `apt`.",low
['CVE-2020-3810'], `apt` package.   See `Remediation` section below for `Debian:9` relevant versions.   Missing input validation in the ar/tar implementations of APT before version 2.1.2 could result in denial of service when processing specially crafted deb files. ## Remediation Upgrade `Debian:9` `apt` to version 1.4.10 or higher.,medium
