System_Call,Time,Count
access,3.4e-05,1
arch_prctl,3.5000000000000004e-05,2
brk,3.2166666666666665e-05,6
close,3.183333333333333e-05,42
dup,3.0333333333333333e-05,3
execve,0.000169,1
fcntl,3.142857142857143e-05,7
fstat,3.1557377049180326e-05,61
futex,3.1e-05,1
getcwd,3e-05,1
getdents64,5.3285714285714285e-05,14
getegid,2.8e-05,1
geteuid,2.8e-05,1
getgid,2.8e-05,1
getrandom,3.5e-05,1
getuid,2.9e-05,1
ioctl,3.188e-05,25
lseek,3.1937500000000004e-05,48
lstat,3e-05,1
mmap,3.239285714285714e-05,56
mprotect,3.208333333333333e-05,12
munmap,3.4642857142857144e-05,14
openat,3.724390243902439e-05,41
pread64,3.2e-05,8
prlimit64,3.1e-05,1
read,3.1e-05,49
readlink,4.4000000000000006e-05,3
rt_sigaction,3.069117647058823e-05,68
rt_sigprocmask,3.1e-05,1
set_robust_list,3e-05,1
set_tid_address,3.1e-05,1
sigaltstack,3.2e-05,3
stat,3.281818181818182e-05,88
sysinfo,3.3e-05,1
