System_Call,Time,Count
access,3.4e-05,1
arch_prctl,3.0500000000000003e-05,2
brk,3.066666666666667e-05,6
close,4.144736842105263e-05,38
dup,2.7333333333333335e-05,3
execve,0.000156,1
fcntl,3e-05,3
fstat,3.292982456140351e-05,57
futex,3.1e-05,1
getcwd,3.1e-05,1
getdents64,7.964285714285715e-05,14
getegid,2.7e-05,1
geteuid,2.7e-05,1
getgid,2.7e-05,1
getrandom,3.1e-05,1
getuid,2.7e-05,1
ioctl,2.9217391304347823e-05,23
lseek,2.9136363636363636e-05,44
lstat,3.1e-05,1
mmap,3.269642857142857e-05,56
mprotect,3.291666666666667e-05,12
munmap,4.2928571428571426e-05,14
openat,3.643589743589743e-05,39
pread64,3.25e-05,8
prlimit64,3e-05,1
read,3.6704545454545456e-05,44
readlink,3.1333333333333334e-05,3
rt_sigaction,2.985294117647059e-05,68
rt_sigprocmask,3e-05,1
set_robust_list,6.2e-05,1
set_tid_address,3e-05,1
sigaltstack,3.366666666666667e-05,3
stat,3.376136363636364e-05,88
sysinfo,3.3e-05,1
